iter	Passed	Remaining
0	187	37257
1	433	42877
2	658	43231
3	887	43483
4	1128	44010
5	1378	44557
6	1621	44710
7	1848	44355
8	2077	44085
9	2453	46610
10	2702	46426
11	2938	46043
12	3200	46032
13	3450	45838
14	3684	45437
15	3805	43760
16	4129	44448
17	4373	44219
18	4635	44155
19	4882	43943
20	5134	43767
21	5358	43355
22	5605	43140
23	5842	42844
24	6092	42646
25	6355	42533
26	6610	42357
27	6827	41937
28	7071	41700
29	7328	41525
30	7564	41239
31	7822	41066
32	8058	40781
33	8301	40531
34	8569	40398
35	8814	40154
36	9064	39931
37	9183	39152
38	9555	39446
39	9794	39178
40	10043	38948
41	10287	38699
42	10545	38502
43	10769	38184
44	10895	37529
45	11313	37875
46	11604	37777
47	11859	37556
48	12086	37246
49	12207	36622
50	12551	36669
51	12795	36418
52	13040	36170
53	13160	35581
54	13490	35566
55	13746	35347
56	14032	35204
57	14283	34970
58	14542	34754
59	14820	34581
60	15066	34331
61	15341	34147
62	15605	33936
63	15888	33764
64	16164	33571
65	16464	33426
66	16768	33286
67	17066	33129
68	17357	32953
69	17620	32724
70	17902	32527
71	18185	32329
72	18471	32135
73	18757	31938
74	19053	31755
75	19335	31548
76	19582	31280
77	19856	31057
78	20134	30839
79	20271	30407
80	20674	30373
81	20956	30157
82	21243	29946
83	21541	29748
84	21825	29529
85	22125	29328
86	22421	29122
87	22721	28918
88	23012	28701
89	23303	28482
90	23602	28270
91	23892	28048
92	24180	27821
93	24459	27582
94	24749	27354
95	25061	27150
96	25357	26925
97	25671	26719
98	25997	26522
99	26309	26309
100	26631	26103
101	26943	25887
102	27273	25685
103	27604	25481
104	27947	25285
105	28294	25091
106	28640	24893
107	29007	24710
108	29334	24489
109	29693	24294
110	30064	24105
111	30404	23889
112	30578	23542
113	31077	23444
114	31421	23224
115	31753	22993
116	32075	22754
117	32252	22412
118	32730	22278
119	33057	22038
120	33373	21789
121	33556	21454
122	33976	21269
123	34259	20997
124	34547	20728
125	34850	20467
126	35016	20127
127	35434	19931
128	35754	19679
129	36075	19425
130	36387	19165
131	36694	18903
132	36988	18633
133	37272	18358
134	37422	18018
135	37846	17810
136	38159	17547
137	38495	17295
138	38796	17025
139	39116	16764
140	39431	16499
141	39754	16237
142	40066	15970
143	40360	15695
144	40693	15435
145	41027	15174
146	41348	14907
147	41660	14637
148	41977	14368
149	42287	14095
150	42643	13838
151	42955	13564
152	43265	13290
153	43595	13022
154	43928	12753
155	44239	12477
156	44568	12206
157	44737	11892
158	45148	11642
159	45452	11363
160	45740	11079
161	46040	10799
162	46368	10525
163	46509	10209
164	46905	9949
165	47176	9662
166	47476	9381
167	47802	9105
168	47941	8794
169	48393	8539
170	48713	8261
171	49003	7977
172	49293	7693
173	49619	7414
174	49945	7135
175	50264	6854
176	50580	6572
177	50897	6290
178	51222	6009
179	51377	5708
180	51836	5441
181	52164	5159
182	52496	4876
183	52807	4591
184	53133	4308
185	53454	4023
186	53775	3738
187	54064	3450
188	54376	3164
189	54682	2878
190	54995	2591
191	55279	2303
192	55554	2014
193	55848	1727
194	56108	1438
195	56371	1150
196	56701	863
197	56973	575
198	57280	287
199	57560	0
